Fecha,TOTAL_PUT_CALL_RATIO,INDEX_PUT_CALL_RATIO,ETP_PUT_CALL_RATIO,EQUITY_PUT_CALL_RATIO,VIX_PUT_CALL_RATIO,SPX_SPXW_PUT_CALL_RATIO,OEX_PUT_CALL_RATIO,MRUT_PUT_CALL_RATIO,MXEA_PUT_CALL_RATIO,MXEF_PUT_CALL_RATIO,MXACW_PUT_CALL_RATIO,MXWLD_PUT_CALL_RATIO,MXUSA_PUT_CALL_RATIO,CBTX_PUT_CALL_RATIO,MBTX_PUT_CALL_RATIO,SPEQX_PUT_CALL_RATIO,SPEQW_PUT_CALL_RATIO,MGTN_PUT_CALL_RATIO,MGTNW_PUT_CALL_RATIO,DJX_PUT_CALL_RATIO,DJXW_PUT_CALL_RATIO,XSPBX_PUT_CALL_RATIO,XSPBW_PUT_CALL_RATIO
2019-10-07,1.05,1.05,1.89,0.7,0.16,1.75,3.49,0.0,6.0,184.0,0.0,0.0,0.0,,,,,,,,,,
2019-10-08,1.01,1.12,1.39,0.65,0.56,1.71,1.23,0.0,14.0,20.0,0.0,0.0,0.0,,,,,,,,,,
2019-10-09,1.03,1.35,1.23,0.59,0.35,2.3,1.04,0.0,38.0,16.0,0.0,0.0,0.0,,,,,,,,,,
2019-10-10,0.99,1.44,1.14,0.58,0.73,1.72,2.89,0.0,0.0,0.07,0.0,0.0,0.0,,,,,,,,,,
2019-10-11,0.94,1.44,0.83,0.56,1.12,1.77,1.93,0.0,1.34,1.42,0.0,0.0,0.0,,,,,,,,,,
2019-10-14,1.0,1.51,1.44,0.61,0.92,1.99,0.88,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,
2019-10-15,1.01,1.6,0.98,0.55,1.14,1.97,1.47,0.0,155.5,1.01,0.0,0.0,0.0,,,,,,,,,,
2019-10-16,0.92,1.29,0.74,0.63,0.51,1.75,2.27,0.0,24.0,1.7,0.0,0.0,0.0,,,,,,,,,,
2019-10-17,0.91,1.16,1.2,0.6,0.35,1.6,2.36,0.0,34.11,176.4,0.0,0.0,0.0,,,,,,,,,,
2019-10-18,1.14,1.33,2.0,0.69,0.34,1.75,0.98,0.0,0.71,15.0,0.0,0.0,0.0,,,,,,,,,,
2019-10-21,0.94,1.41,1.16,0.61,0.37,1.72,3.53,0.0,385.0,0.57,0.0,0.0,0.0,,,,,,,,,,
2019-10-22,0.95,1.49,1.39,0.61,0.53,1.97,3.15,0.0,33.0,1.7,0.0,0.0,0.0,,,,,,,,,,
2019-10-23,0.87,1.12,0.94,0.69,1.0,1.81,0.78,0.0,22.0,319.0,0.0,0.0,0.0,,,,,,,,,,
2019-10-24,0.78,0.99,0.75,0.68,0.18,1.55,0.92,0.0,11.0,17.0,0.0,0.0,0.0,,,,,,,,,,
2019-10-25,0.82,1.04,1.1,0.56,0.44,1.41,1.32,0.0,1.18,0.98,0.0,0.0,0.0,,,,,,,,,,
2019-10-28,0.79,1.14,0.65,0.51,0.49,1.73,0.97,0.0,320.0,331.0,0.0,0.0,0.0,,,,,,,,,,
2019-10-29,0.85,1.26,1.01,0.55,0.17,1.97,5.9,0.0,9.0,0.77,0.0,0.0,0.0,,,,,,,,,,
2019-10-30,0.97,1.26,1.37,0.6,0.99,1.91,1.0,0.0,0.67,0.0,0.0,0.0,0.0,,,,,,,,,,
2019-10-31,1.16,1.26,2.16,0.71,0.79,1.72,1.52,0.0,0.0,14.0,0.0,0.0,0.0,,,,,,,,,,
2019-11-01,0.74,1.01,0.76,0.53,0.53,1.2,11.0,0.0,1.01,0.93,0.0,0.0,0.0,,,,,,,,,,
2019-11-04,0.65,0.75,0.72,0.54,0.16,1.18,1.24,0.0,40.0,36.0,0.0,0.0,0.0,,,,,,,,,,
2019-11-05,0.85,1.05,1.37,0.58,0.43,1.62,1.29,0.0,280.0,1.08,0.0,0.0,0.0,,,,,,,,,,
2019-11-06,0.93,1.36,1.0,0.63,1.17,1.7,3.43,0.0,6.0,10.0,0.0,0.0,0.0,,,,,,,,,,
2019-11-07,0.66,0.82,0.71,0.54,0.57,0.99,1.35,0.0,318.0,30.0,0.0,0.0,0.0,,,,,,,,,,
2019-11-08,0.94,1.36,1.4,0.59,0.65,1.89,2.96,0.0,1.0,0.95,0.0,0.0,0.0,,,,,,,,,,
2019-11-11,0.91,1.34,1.04,0.61,0.48,1.66,2.26,0.0,1.0,22.0,0.0,0.0,0.0,,,,,,,,,,
2019-11-12,0.88,1.0,1.26,0.59,0.44,1.85,1.85,0.0,0.09,3.0,0.0,0.0,0.0,,,,,,,,,,
2019-11-13,1.0,1.45,1.68,0.58,0.7,1.98,1.01,0.0,263.0,30.0,0.0,0.0,0.0,,,,,,,,,,
2019-11-14,0.92,1.19,2.16,0.47,0.38,1.97,8.37,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,
2019-11-15,0.84,1.16,1.32,0.49,0.89,1.43,0.57,0.0,1.01,0.26,0.0,0.0,0.0,,,,,,,,,,
2019-11-18,0.84,1.14,1.2,0.55,0.8,1.4,2.2,0.0,3.5,0.09,0.0,0.0,0.0,,,,,,,,,,
2019-11-19,1.08,1.86,1.32,0.58,1.98,1.8,3.59,0.0,7.0,5.0,0.0,0.0,0.0,,,,,,,,,,
2019-11-20,1.0,1.27,1.39,0.64,0.62,1.96,9.73,0.0,163.5,559.0,0.0,0.0,0.0,,,,,,,,,,
2019-11-21,1.21,2.16,1.97,0.59,1.05,2.59,2.95,0.0,1.0,0.01,0.0,0.0,0.0,,,,,,,,,,
2019-11-22,0.96,1.71,1.02,0.58,1.63,2.0,3.98,0.0,0.0,0.42,0.0,0.0,0.0,,,,,,,,,,
2019-11-25,0.94,1.19,1.24,0.63,0.47,1.71,1.3,0.0,19.0,0.33,0.0,0.0,0.0,,,,,,,,,,
2019-11-26,1.05,1.05,2.37,0.57,0.31,1.58,1.96,0.0,13.0,0.02,0.0,0.0,0.0,,,,,,,,,,
2019-11-27,0.94,1.03,1.83,0.58,0.35,4.22,0.74,0.0,0.26,0.46,0.0,0.0,0.0,,,,,,,,,,
2019-11-29,0.96,1.3,1.0,0.59,1.0,2.03,2.62,0.0,1.01,1.04,0.0,0.0,0.0,,,,,,,,,,
2019-12-02,0.99,1.34,0.92,0.66,0.61,1.81,2.83,0.0,0.72,0.22,0.0,0.0,0.0,,,,,,,,,,
2019-12-03,1.13,1.41,1.58,0.7,0.91,1.65,1.3,0.0,0.0,9.0,0.0,0.0,0.0,,,,,,,,,,
2019-12-04,0.98,1.45,1.26,0.54,0.92,1.8,0.56,0.0,0.0,6.0,0.0,0.0,0.0,,,,,,,,,,
2019-12-05,1.08,1.62,1.63,0.65,0.53,2.01,2.54,0.0,0.0,4.0,0.0,0.0,0.0,,,,,,,,,,
2019-12-06,0.88,1.23,1.14,0.53,0.56,1.55,0.9,0.0,1.03,1.03,0.0,0.0,0.0,,,,,,,,,,
2019-12-09,1.02,1.54,1.06,0.64,0.79,2.3,3.75,0.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2019-12-10,0.98,1.3,0.83,0.76,0.71,1.99,9.57,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2019-12-11,0.98,1.45,1.33,0.52,1.43,1.67,2.04,0.0,2.0,0.43,0.0,0.0,0.0,,,,,,,,,,
2019-12-12,0.72,11.0,0.72,0.45,0.73,1.29,3.31,0.0,322.0,0.12,0.0,0.0,0.0,,,,,,,,,,
2019-12-13,1.1,1.79,0.89,0.55,1.98,1.85,1.4,0.0,1.32,1.12,0.0,0.0,0.0,,,,,,,,,,
2019-12-16,0.87,1.09,0.91,0.61,1.41,1.27,3.25,0.0,110.0,1.67,0.0,0.0,0.0,,,,,,,,,,
2019-12-17,0.63,0.7,0.71,0.53,0.37,1.53,0.6,0.0,318.0,2.07,0.0,0.0,0.0,,,,,,,,,,
2019-12-18,1.06,1.21,2.56,0.49,0.46,2.07,0.84,0.0,101.0,44.6,0.0,0.0,0.0,,,,,,,,,,
2019-12-19,0.78,1.14,0.95,0.54,0.53,1.35,2.0,0.0,269.0,293.0,0.0,0.0,0.0,,,,,,,,,,
2019-12-20,0.79,1.0,1.33,0.46,0.63,1.26,0.67,0.0,1.34,0.02,0.0,0.0,0.0,,,,,,,,,,
2019-12-23,0.8,1.2,0.98,0.54,0.22,1.52,2.14,0.0,7.4,0.31,0.0,0.0,0.0,,,,,,,,,,
2019-12-24,0.8,1.88,0.71,0.52,0.46,2.23,4.3,0.0,17.0,9.0,0.0,0.0,0.0,,,,,,,,,,
2019-12-26,0.79,1.67,1.1,0.43,0.28,1.9,1.88,0.0,5.0,175.0,0.0,0.0,0.0,,,,,,,,,,
2019-12-27,0.87,1.29,0.91,0.6,0.57,1.71,2.8,0.0,1.0,13.0,0.0,0.0,0.0,,,,,,,,,,
2019-12-30,0.9,1.25,0.94,0.59,1.01,1.46,0.53,0.0,2.33,7.0,0.0,0.0,0.0,,,,,,,,,,
2019-12-31,0.96,4.22,1.22,0.56,0.75,1.51,1.0,0.0,0.0,7.76,0.0,0.0,0.0,,,,,,,,,,
2020-01-02,0.83,1.3,0.99,0.54,0.48,1.88,0.82,0.0,0.69,0.39,0.0,0.0,0.0,,,,,,,,,,
2020-01-03,0.85,1.36,0.75,0.55,0.54,2.0,1.85,0.0,1.42,1.02,0.0,0.0,0.0,,,,,,,,,,
2020-01-06,0.83,1.28,0.78,0.54,0.46,1.89,0.97,0.0,0.0,1.02,0.0,0.0,0.0,,,,,,,,,,
2020-01-07,0.83,1.21,1.66,0.44,0.4,1.79,2.84,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2020-01-08,0.76,1.01,1.06,0.47,0.28,1.51,1.57,0.0,0.0,9.0,0.0,0.0,0.0,,,,,,,,,,
2020-01-09,0.66,0.85,0.71,0.49,0.25,1.36,1.47,0.0,25.0,3.33,0.0,0.0,0.0,,,,,,,,,,
2020-01-10,0.86,1.39,0.92,0.52,0.67,1.99,2.61,0.0,1.05,1.99,0.0,0.0,0.0,,,,,,,,,,
2020-01-13,0.76,11.0,1.09,0.47,0.36,1.55,2.14,0.0,46.0,0.03,0.0,0.0,0.0,,,,,,,,,,
2020-01-14,0.76,1.2,1.0,0.47,0.44,1.73,7.84,0.0,0.7,1.0,0.0,0.0,0.0,,,,,,,,,,
2020-01-15,0.75,11.0,0.95,0.44,0.17,1.68,7.77,0.0,45.67,291.0,0.0,0.0,0.0,,,,,,,,,,
2020-01-16,0.71,0.84,0.99,0.47,0.18,1.62,2.0,0.0,86.71,6.0,0.0,0.0,0.0,,,,,,,,,,
2020-01-17,0.66,0.78,0.93,0.48,0.25,1.45,0.85,0.0,1.02,0.57,0.0,0.0,0.0,,,,,,,,,,
2020-01-21,0.83,1.18,0.91,0.59,0.6,1.88,10.3,0.0,0.0,0.11,0.0,0.0,0.0,,,,,,,,,,
2020-01-22,0.82,1.14,11.0,0.52,0.38,1.94,3.02,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2020-01-23,0.76,1.09,0.86,0.54,0.29,1.97,3.85,0.0,1.0,0.6,0.0,0.0,0.0,,,,,,,,,,
2020-01-24,1.1,1.59,1.29,0.7,0.82,2.25,5.58,0.0,1.03,12.0,0.0,0.0,0.0,,,,,,,,,,
2020-01-27,1.01,1.3,1.19,0.64,0.52,1.95,2.29,0.0,280.0,83.33,0.0,0.0,0.0,,,,,,,,,,
2020-01-28,0.8,1.03,1.05,0.55,0.32,1.69,2.87,0.0,0.4,1.36,0.0,0.0,0.0,,,,,,,,,,
2020-01-29,0.83,1.44,1.26,0.5,0.62,2.0,9.9,0.0,0.0,0.24,0.0,0.0,0.0,,,,,,,,,,
2020-01-30,0.86,4.22,0.99,0.61,0.42,1.69,6.94,0.0,180.0,3.28,0.0,0.0,0.0,,,,,,,,,,
2020-01-31,1.07,1.0,1.46,0.74,0.46,1.82,2.78,0.0,1.61,0.9,0.0,0.0,0.0,,,,,,,,,,
2020-02-03,0.72,1.0,0.62,0.5,0.33,1.89,5.37,0.0,2.38,2.46,0.0,0.0,0.0,,,,,,,,,,
