CFTC_Contract_Market_Code,Report_Date_as_YYYY-MM-DD,Open_Interest_All,Dealer_Positions_Long_All,Dealer_Positions_Short_All,Asset_Mgr_Positions_Long_All,Asset_Mgr_Positions_Short_All,Lev_Money_Positions_Long_All,Lev_Money_Positions_Short_All
209742,2006-06-13,598465,305538,95367,17444,51983,92551,233860
209742,2006-06-20,331256,208946,54232,16929,57607,28929,164327
209742,2006-06-27,352844,222563,61031,14021,59702,36427,175983
209742,2006-07-03,325610,166594,80999,22566,59460,32152,130671
209742,2006-07-11,342671,171295,73224,16175,55117,64085,152630
209742,2006-07-18,426672,247907,98254,13578,60731,62502,183722
209742,2006-07-25,418976,241097,96638,13361,63631,60120,173832
209742,2006-08-01,420045,265176,99202,14040,61166,73040,186685
209742,2006-08-08,435921,258607,102765,17429,61750,80735,181351
209742,2006-08-15,436324,219034,117370,17918,56418,101633,180376
209742,2006-08-22,413528,195067,125825,16885,53175,94532,151506
209742,2006-08-29,401969,190683,130884,18102,53246,99943,159068
209742,2006-09-05,410662,190808,130859,16275,53379,109368,161031
209742,2006-09-12,554206,193681,121440,20315,51569,121649,178294
209742,2006-09-19,383393,182417,110147,22811,50675,109834,113322
209742,2006-09-26,430416,200023,123041,25881,50495,126782,152936
209742,2006-10-03,430732,196998,124331,26182,51135,149391,154194
209742,2006-10-10,463295,195332,154807,36241,50758,153379,157088
209742,2006-10-17,486123,177134,188417,32015,50721,161579,106983
209742,2006-10-24,431235,155882,151740,28915,53217,136917,100855
209742,2006-10-31,430345,98538,138373,28989,53825,140927,102887
209742,2006-11-07,473590,97225,147393,32068,52435,173438,125495
209742,2006-11-14,492403,94129,171847,33198,50882,190145,128211
209742,2006-11-21,542633,101536,232419,28513,46890,208577,123835
209742,2006-11-28,511004,105874,212056,30014,47328,180558,112644
209742,2006-12-05,532332,114410,228910,32918,49238,176706,96356
209742,2006-12-12,607635,105400,219202,35294,44485,161471,105717
209742,2006-12-19,311209,46059,111911,35385,38678,167611,86070
209742,2006-12-26,320899,58629,100736,31037,38768,166119,94346
209742,2007-01-03,359107,78983,95645,38097,38533,173048,105594
209742,2007-01-09,338155,72958,109553,27142,39414,161918,72077
209742,2007-01-16,377805,70196,154492,32386,30746,198387,100876
209742,2007-01-23,385115,71924,166557,34354,31369,202367,97123
209742,2007-01-30,330592,89269,121044,40575,28340,132214,92816
209742,2007-02-06,335224,119677,95294,35630,28212,106487,111422
209742,2007-02-13,358493,138712,102512,37048,31296,108518,114808
209742,2007-02-20,366428,118743,117652,37076,26870,137684,114558
209742,2007-02-27,379075,138162,105844,38189,26644,107686,131741
209742,2007-03-06,438592,218609,110467,32326,30366,86464,133604
209742,2007-03-13,599120,275765,108344,29831,23791,84067,173003
209742,2007-03-20,329880,202421,67135,32897,26481,45810,147357
209742,2007-03-27,331474,175738,86795,35785,19391,60070,138025
209742,2007-04-03,350189,160321,85386,33935,20876,82073,150214
209742,2007-04-10,379259,187220,104849,41308,17724,73775,160215
209742,2007-04-17,392546,180013,109047,41831,20143,85918,155642
209742,2007-04-24,429952,164223,118222,41713,22877,124051,154541
209742,2007-05-01,459779,133310,152917,41779,24587,177312,144057
209742,2007-05-08,473906,139802,171148,42389,20027,180692,147672
209742,2007-05-15,458310,144920,152959,39349,21551,174862,152787
209742,2007-05-22,472751,143906,175849,46353,20855,175495,151203
209742,2007-05-29,455492,175268,152590,46040,25546,141879,153354
209742,2007-06-05,477255,178403,146492,46754,20719,158211,179067
209742,2007-06-12,605929,214927,152500,48355,25499,153445,202471
209742,2007-06-19,357164,113163,148649,48218,29493,137840,105713
209742,2007-06-26,368787,125518,155497,58781,22017,118643,112000
209742,2007-07-03,395201,131434,180851,54344,18833,145456,125037
209742,2007-07-10,395988,127109,159351,51878,19617,143398,139035
209742,2007-07-17,416450,131453,171611,50395,20402,147653,157665
209742,2007-07-24,442654,114953,214222,61644,16211,166959,153680
209742,2007-07-31,450054,128308,211714,62951,22854,156999,158164
209742,2007-08-07,450183,147355,199575,55991,24303,125056,160176
209742,2007-08-14,429354,156436,181914,55232,26342,93439,165582
209742,2007-08-21,418030,163957,151495,44322,17037,86133,185056
209742,2007-08-28,410512,168329,143357,42210,23086,95718,184431
209742,2007-09-04,438432,168552,180291,59496,23850,82489,156241
209742,2007-09-11,488863,172477,207878,58163,26158,104116,159036
209742,2007-09-18,573788,187786,236221,62482,24563,115700,156753
209742,2007-09-25,325577,54843,105182,61867,24109,104927,122237
209742,2007-10-02,376929,48245,135441,64119,26686,132580,125629
209742,2007-10-09,406680,55468,158624,64848,9460,140592,129428
209742,2007-10-16,421054,55972,199446,82781,6166,153861,116883
209742,2007-10-23,429715,66570,202345,89597,2414,162954,131079
209742,2007-10-30,432608,74785,209173,94178,5056,148010,116499
209742,2007-11-06,448210,72398,211356,98323,4984,152503,122080
209742,2007-11-13,438287,86621,179608,91237,5922,126391,131645
209742,2007-11-20,432349,106833,150816,89481,8009,110846,139958
209742,2007-11-27,428044,109380,129747,74333,18820,118250,149929
209742,2007-12-04,417364,116553,133861,71966,16695,100581,140028
209742,2007-12-11,443585,131263,129252,71787,19389,86090,151215
209742,2007-12-18,545657,131436,134713,74585,7139,86753,140503
209742,2007-12-24,282512,75378,63288,71189,9218,53884,130471
209742,2007-12-31,283298,68645,62341,79686,9933,62599,138254
209742,2008-01-08,334132,81407,77830,68595,15325,95562,171437
209742,2008-01-15,358574,100497,86582,62496,17520,108056,174488
209742,2008-01-22,376145,82714,108017,53085,20271,113341,133391
209742,2008-01-29,363387,117902,113164,51544,15293,100908,142743
209742,2008-02-05,385806,125424,113411,50242,19191,122632,156734
209742,2008-02-12,408292,165614,113591,50453,19034,89125,168618
209742,2008-02-19,441283,195484,120302,51080,24617,104018,192631
209742,2008-02-26,414057,174067,120842,48046,25843,102870,171713
209742,2008-03-04,451704,185083,124651,52582,32195,113701,192863
209742,2008-03-11,441298,156296,125905,49977,35811,128485,170191
209742,2008-03-18,579724,175109,126626,48170,13876,111220,191448
209742,2008-03-25,309092,123035,79448,51176,19749,69239,163514
209742,2008-04-01,309395,127765,84462,55689,20280,54078,156915
209742,2008-04-08,312236,137813,92981,57718,18190,44841,144718
209742,2008-04-15,313185,137930,93910,59356,23188,45835,138441
209742,2008-04-22,320206,128097,106847,65404,19954,42983,113344
209742,2008-04-29,339755,131137,129691,66544,20691,55501,96331
209742,2008-05-06,369548,138009,155112,76806,20750,73057,107207
209742,2008-05-13,380316,132293,168631,76214,17307,88558,107362
209742,2008-05-20,372819,140405,153282,74421,19313,71698,116266
209742,2008-05-27,382400,138820,186518,74023,19284,100701,95809
209742,2008-06-03,372626,143291,159396,74065,20904,75799,107811
209742,2008-06-10,391735,129723,164426,66415,21027,90748,108039
209742,2008-06-17,473192,133142,162244,66644,22901,105266,129099
209742,2008-06-24,269503,45990,98876,64870,16851,95528,85079
209742,2008-07-01,298622,56121,109603,55235,25215,117346,87977
209742,2008-07-08,306726,75038,97546,49165,32364,118462,92955
209742,2008-07-15,303235,73799,93282,45625,32763,119241,95594
209742,2008-07-22,324721,97927,86124,49529,22860,111862,130035
209742,2008-07-29,326574,92756,88530,43072,22980,125916,132140
209742,2008-08-05,308577,85790,78944,40226,26013,123395,120328
209742,2008-08-12,334779,100360,97292,44706,23751,120045,128143
209742,2008-08-19,342299,95383,119827,44275,25482,126054,111857
209742,2008-08-26,322022,94063,107780,43473,26973,108139,102462
209742,2008-09-02,323205,91825,95037,41961,26872,108972,112586
209742,2008-09-09,356462,114338,95363,34460,39924,131024,140915
209742,2008-09-16,434630,107135,107634,27616,39906,132746,126273
209742,2008-09-23,282666,106801,81796,32360,51879,80386,97062
209742,2008-09-30,304584,104567,99923,26151,49137,81799,85616
209742,2008-10-07,381376,100540,135994,29947,95479,140885,72809
209742,2008-10-14,387668,124846,119647,48066,69911,114345,118710
209742,2008-10-21,407292,118260,119631,45397,72327,145953,145160
209742,2008-10-28,409077,99047,136729,46802,70745,147850,115020
209742,2008-11-04,351396,100321,131812,47021,53752,97555,98142
209742,2008-11-11,363166,100779,134132,38926,60264,114904,92075
209742,2008-11-18,363973,101653,132632,44635,66776,111443,87908
209742,2008-11-25,363610,103255,98793,28078,74790,114603,92259
209742,2008-12-02,347268,105125,115269,30089,71718,112324,84607
209742,2008-12-09,350273,128065,111818,17831,72664,103419,86069
209742,2008-12-16,397431,109797,121787,24950,66879,100838,80114
209742,2008-12-22,222702,98508,48343,32636,60755,32269,59413
209742,2008-12-30,229980,92103,56831,29944,61315,44498,57996
209742,2009-01-06,221422,95396,55564,29362,57921,42216,54899
209742,2009-01-13,246708,116625,57092,27521,58226,42895,60252
209742,2009-01-20,268252,139523,57247,25545,66286,48052,65737
209742,2009-01-27,248360,124204,56398,25682,68486,49246,58480
209742,2009-02-03,257135,114051,59392,33546,61513,56772,70293
209742,2009-02-10,266329,107795,74994,44765,55953,56766,66365
209742,2009-02-17,295777,130304,76817,46840,58279,57397,83689
209742,2009-02-24,299235,126002,91552,51413,54755,57278,77027
209742,2009-03-03,312091,138670,97271,46946,59203,65981,84579
209742,2009-03-10,330184,161125,84196,42175,63509,54036,92794
209742,2009-03-17,398815,165317,77232,33160,66950,57827,95901
209742,2009-03-24,236219,104114,47454,31597,60768,46347,69632
209742,2009-03-31,241100,69976,56418,31004,61936,71418,55222
209742,2009-04-07,239199,71108,54950,44308,57095,60009,62032
209742,2009-04-14,245377,81168,67091,47282,56856,56024,58836
209742,2009-04-21,265772,68378,86295,49320,54567,85852,59045
209742,2009-04-28,274769,81918,78543,36656,53713,89597,68194
209742,2009-05-05,283463,95309,81219,45992,48542,80609,80652
209742,2009-05-12,286699,86023,67620,48059,48483,78006,76024
209742,2009-05-19,291426,58540,73580,39464,52415,109252,67488
209742,2009-05-26,302106,73846,77270,40126,47160,109902,75852
209742,2009-06-02,282867,84490,70044,39843,52167,92086,72325
209742,2009-06-09,281986,87212,68249,39428,43545,83554,77953
209742,2009-06-16,389999,86181,74487,44233,58764,105749,81887
209742,2009-06-23,235355,73522,66994,37994,56925,78008,63790
209742,2009-06-30,240885,68391,66483,35800,51023,81613,70376
209742,2009-07-07,247976,91017,60419,35692,53835,62318,76891
209742,2009-07-14,253455,94015,53715,32345,53372,68865,87887
209742,2009-07-21,279908,94214,49871,33184,50110,74572,108332
209742,2009-07-28,305032,80835,62795,40420,45931,107808,125668
209742,2009-08-04,315907,82593,85444,42273,42478,118856,116483
209742,2009-08-11,336208,83766,87831,46395,42797,134477,131161
209742,2009-08-18,325375,94693,87255,45237,39932,125809,136325
209742,2009-08-25,332249,99011,74585,47897,35525,109859,147717
209742,2009-09-01,347853,129337,57863,44839,46210,91375,154165
209742,2009-09-08,364640,120299,57656,47384,58488,113580,165410
209742,2009-09-15,414100,125728,63719,50140,56728,107348,176214
209742,2009-09-22,288165,94471,46510,39214,55654,96910,142910
209742,2009-09-29,314232,89780,63512,45655,56194,119198,149435
209742,2009-10-06,332087,94561,66098,43820,57914,131892,164170
209742,2009-10-13,314609,98958,47282,46946,56226,102720,169814
209742,2009-10-20,322237,117612,49261,51962,54812,81260,171593
209742,2009-10-27,326953,122576,56709,47527,66053,93111,159150
209742,2009-11-03,316078,123961,50356,40057,78323,95219,150438
209742,2009-11-09,301986,122011,45971,45607,61451,89947,147723
209742,2009-11-17,329448,124455,72718,46065,53226,109511,155750
209742,2009-11-24,354093,133084,85685,48251,55075,118116,166123
209742,2009-12-01,364089,138151,87543,44616,54974,127143,174265
209742,2009-12-08,349639,142917,72347,51589,54877,104414,166273
209742,2009-12-15,443515,142438,90162,55820,53003,123622,168685
209742,2009-12-22,274954,63820,69633,35380,58274,120474,81274
209742,2009-12-29,294737,72509,80114,37690,55441,128724,93026
209742,2010-01-05,309733,75356,88761,39653,48384,134757,104979
209742,2010-01-12,307193,87533,68961,45865,49160,110501,117804
209742,2010-01-19,340412,83174,79718,45222,48356,145831,137851
209742,2010-01-26,361261,122991,46779,40760,122043,133523,112810
209742,2010-02-02,410873,153197,38195,36221,169958,148363,115377
209742,2010-02-09,386282,149481,39867,34511,131442,137776,126078
209742,2010-02-16,397418,150192,43293,34549,133546,156163,135712
209742,2010-02-23,413304,147519,48756,32242,142419,178261,142063
209742,2010-03-02,404426,125103,54218,35041,141935,183886,128906
209742,2010-03-09,411761,123189,62879,34806,98321,193365,170133
209742,2010-03-16,416112,100580,80236,32981,51754,173310,159845
209742,2010-03-23,287475,33891,83345,38051,45100,150650,96664
209742,2010-03-30,292716,32292,85531,50456,45409,152483,105130
209742,2010-04-06,300667,37276,93187,54270,46956,155425,101626
209742,2010-04-13,308541,43714,95103,57413,45133,153674,108260
209742,2010-04-20,328384,46845,100179,68483,45840,151083,121883
