Fecha,VIX_Close,VIX9D_Close,VIX3M_Close,Signo,Cantidad_USD,NAV,Cambio_%,AUM,Open_Interest_All,Dealer_Positions_Long_All,Dealer_Positions_Short_All,Asset_Mgr_Positions_Long_All,Asset_Mgr_Positions_Short_All,Lev_Money_Positions_Long_All,Lev_Money_Positions_Short_All,Pánico_Corto_Plazo,Estructura_VIX_3M
1990-01-02,17.24,,,,,,,,,,,,,,,,
1990-01-03,18.19,,,,,,,,,,,,,,,,
1990-01-04,19.22,,,,,,,,,,,,,,,,
1990-01-05,20.11,,,,,,,,,,,,,,,,
1990-01-08,20.26,,,,,,,,,,,,,,,,
1990-01-09,22.2,,,,,,,,,,,,,,,,
1990-01-10,22.44,,,,,,,,,,,,,,,,
1990-01-11,20.05,,,,,,,,,,,,,,,,
1990-01-12,24.64,,,,,,,,,,,,,,,,
1990-01-15,26.34,,,,,,,,,,,,,,,,
1990-01-16,24.18,,,,,,,,,,,,,,,,
1990-01-17,24.16,,,,,,,,,,,,,,,,
1990-01-18,24.34,,,,,,,,,,,,,,,,
1990-01-19,22.5,,,,,,,,,,,,,,,,
1990-01-22,26.7,,,,,,,,,,,,,,,,
1990-01-23,24.72,,,,,,,,,,,,,,,,
1990-01-24,25.39,,,,,,,,,,,,,,,,
1990-01-25,25.63,,,,,,,,,,,,,,,,
1990-01-26,26.28,,,,,,,,,,,,,,,,
1990-01-29,26.44,,,,,,,,,,,,,,,,
1990-01-30,27.25,,,,,,,,,,,,,,,,
1990-01-31,25.36,,,,,,,,,,,,,,,,
1990-02-01,24.87,,,,,,,,,,,,,,,,
1990-02-02,24.32,,,,,,,,,,,,,,,,
1990-02-05,24.54,,,,,,,,,,,,,,,,
1990-02-06,24.69,,,,,,,,,,,,,,,,
1990-02-07,24.29,,,,,,,,,,,,,,,,
1990-02-08,23.77,,,,,,,,,,,,,,,,
1990-02-09,23.69,,,,,,,,,,,,,,,,
1990-02-12,24.38,,,,,,,,,,,,,,,,
1990-02-13,23.76,,,,,,,,,,,,,,,,
1990-02-14,22.05,,,,,,,,,,,,,,,,
1990-02-15,19.71,,,,,,,,,,,,,,,,
1990-02-16,20.78,,,,,,,,,,,,,,,,
