
"PowerShares QQQ Trust, Series 1 (ETF)",Last: 720.1,Change:  7.95
Date: 14 de julio de 2026 a las 17:50 GMT-4,Bid: 720,Ask: 720.1,Size: 560*160,Volume: 29.187.025
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Tue Jul 14 2026,QQQ260714C00495000,225.09,8.815,223.03,226.91,143,0,1,0,0,495.00,QQQ260714P00495000,0.01,0,0,0.01,0,0,0,0,765
Tue Jul 14 2026,QQQ260714C00500000,220.77,9.48,217.77,221.91,9,0,1,0,0,500.00,QQQ260714P00500000,0.01,0,0,0.01,0,0,0,0,1
Tue Jul 14 2026,QQQ260714C00505000,214.79,8.505,212.31,216.88,23,0,1,0,8,505.00,QQQ260714P00505000,0,0,0,0.01,0,0,0,0,0
Tue Jul 14 2026,QQQ260714C00510000,210.66,9.375,208.03,211.91,7,0,1,0,0,510.00,QQQ260714P00510000,0,0,0,0.01,0,0,0,0,0
Tue Jul 14 2026,QQQ260714C00515000,205.27,8.99,203.08,206.91,4,0,1,0,0,515.00,QQQ260714P00515000,0.01,0,0,0.01,0,0,0,0,15
Tue Jul 14 2026,QQQ260714C00520000,200.22,8.93,198.03,201.9,4,0,1,0,0,520.00,QQQ260714P00520000,0.06,0,0,0.01,0,0,0,0,3
Tue Jul 14 2026,QQQ260714C00525000,195.27,8.975,192.99,196.91,4,0,1,0,0,525.00,QQQ260714P00525000,0.01,0,0,0.01,0,0,0,0,6152
Tue Jul 14 2026,QQQ260714C00530000,190.83,9.56,188.03,191.91,7,0,1,0,0,530.00,QQQ260714P00530000,0.01,0,0,0.01,0,0,0,0,7501
Tue Jul 14 2026,QQQ260714C00535000,185.8,9.505,182.31,186.88,6,0,1,0,0,535.00,QQQ260714P00535000,0.01,0,0,0.01,0,0,0,0,7501
Tue Jul 14 2026,QQQ260714C00540000,180.78,9.495,178.03,181.91,15,0,1,0,0,540.00,QQQ260714P00540000,0.02,0,0,0.01,0,0,0,0,25007
Tue Jul 14 2026,QQQ260714C00545000,176.23,9.95,173.08,176.91,23,0,1,0,0,545.00,QQQ260714P00545000,0.02,0,0,0.01,0,0,0,0,4
Tue Jul 14 2026,QQQ260714C00550000,171.38,10.1,168.08,171.93,23,0,1,0,0,550.00,QQQ260714P00550000,0.02,0,0,0.01,0,0,0,0,4533
Tue Jul 14 2026,QQQ260714C00555000,0,0,162.93,166.92,0,0,1,0,0,555.00,QQQ260714P00555000,0.01,0,0,0.01,0,0,0,0,1072
Tue Jul 14 2026,QQQ260714C00560000,161.35,10.07,158.08,161.93,20,0,1,0,0,560.00,QQQ260714P00560000,0.01,0,0,0.01,0,0,0,0,20657
Tue Jul 14 2026,QQQ260714C00565000,155.64,9.335,153.03,156.91,19,0,1,0,0,565.00,QQQ260714P00565000,0.01,0,0,0.01,0,0,0,0,330
Tue Jul 14 2026,QQQ260714C00570000,150.53,9.245,148.03,151.93,1,0,1,0,7,570.00,QQQ260714P00570000,0.01,0,0,0.01,0,0,0,0,30
Tue Jul 14 2026,QQQ260714C00575000,145.11,8.895,143.08,146.93,37,0,1,0,0,575.00,QQQ260714P00575000,0.03,0,0,0.01,0,0,0,0,48
Tue Jul 14 2026,QQQ260714C00580000,140.96,9.66,138.03,141.93,34,0,1,0,0,580.00,QQQ260714P00580000,0.01,0,0,0.01,0,0,0,0,755
Tue Jul 14 2026,QQQ260714C00585000,135.75,9.455,132.31,136.88,8,0,1,0,0,585.00,QQQ260714P00585000,0.01,0,0,0.01,0,0,0,0,168
Tue Jul 14 2026,QQQ260714C00590000,131.45,10.155,127.31,131.88,11,6.7772,1,0,0,590.00,QQQ260714P00590000,0.01,0,0,0.01,0,0,0,0,136
Tue Jul 14 2026,QQQ260714C00595000,125.39,9.09,122.31,126.91,87,6.4965,1,0,10,595.00,QQQ260714P00595000,0.01,0,0,0.01,0,0,0,0,332
Tue Jul 14 2026,QQQ260714C00600000,120,8.71,118.08,121.93,135,0,1,0,40,600.00,QQQ260714P00600000,0.01,0,0,0.01,0,0,0,0,453
Tue Jul 14 2026,QQQ260714C00605000,114.98,8.69,113.03,116.93,46,0,1,0,0,605.00,QQQ260714P00605000,0.01,0,0,0.01,0,0,0,0,863
Tue Jul 14 2026,QQQ260714C00610000,110.25,8.955,108.03,111.9,24,0,1,0,0,610.00,QQQ260714P00610000,0.01,0,0,0.01,0,0,0,0,3632
Tue Jul 14 2026,QQQ260714C00615000,104.76,8.525,103.03,106.9,9,0,1,0,0,615.00,QQQ260714P00615000,0.01,0,0,0.01,0,0,0,0,555
Tue Jul 14 2026,QQQ260714C00620000,100.76,9.53,98.03,101.9,17,0,1,0,5,620.00,QQQ260714P00620000,0.01,0,0,0.01,20,0,0,0,1090
Tue Jul 14 2026,QQQ260714C00625000,95.85,9.65,93.03,96.93,9,0,1,0,1,625.00,QQQ260714P00625000,0.01,0,0,0.01,0,8.2333,0,0,162
Tue Jul 14 2026,QQQ260714C00630000,90.32,9.105,88.03,91.98,8,0,1,0,0,630.00,QQQ260714P00630000,0.02,0,0,0.01,0,7.8003,0,0,2218
