Fecha,Signo,Cantidad_USD,NAV,Cambio_%,AUM
1999-03-10,Salida,0.0,50.96,,
1999-03-11,Salida,0.0,102.19,0.26511,7644000.0
1999-03-12,Salida,0.0,100.45,-1.703079,15328530.0
1999-03-15,Entrada,220989604.0,103.02,2.555883,236057077.0
1999-03-16,Entrada,103017200.0,103.67,0.629041,345107620.0
1999-03-17,Salida,0.0,103.23,-0.424636,347278487.0
1999-03-18,Salida,0.0,105.14,1.855849,345803817.0
1999-03-19,Salida,0.0,102.69,-2.333863,352221412.0
1999-03-22,Entrada,133492944.0,101.36,-1.294323,477493992.0
1999-03-23,Entrada,15203667.0,98.07,-3.248098,486517344.0
1999-03-24,Salida,0.0,100.68,2.664441,470714784.0
1999-03-25,Salida,0.0,104.17,3.466123,483256704.0
1999-03-26,Entrada,20833624.0,103.36,-0.771061,520840600.0
1999-03-29,Salida,0.0,107.23,3.743243,516824600.0
1999-03-30,Entrada,134042650.0,106.28,-0.885819,670213250.0
1999-03-31,Salida,0.0,105.32,-0.90862,664276375.0
1999-04-01,Salida,0.0,107.31,1.886544,658240625.0
1999-04-02,Salida,0.0,107.31,0.0,658240625.0
1999-04-05,Salida,0.0,110.98,3.423239,670658625.0
1999-04-06,Entrada,27744675.0,110.94,-0.036656,721361550.0
1999-04-07,Salida,0.0,109.61,-1.196488,721097130.0
1999-04-08,Entrada,191818655.0,111.23,1.480805,904287945.0
1999-04-09,Salida,0.0,111.62,0.346352,917678685.0
1999-04-12,Entrada,33485712.0,110.95,-0.595472,954342792.0
1999-04-13,Salida,0.0,108.75,-1.984978,948659949.0
1999-04-14,Entrada,54375980.0,105.17,-3.290184,984205238.0
1999-04-15,Entrada,262934550.0,106.78,1.529145,1214757621.0
1999-04-16,Salida,0.0,104.31,-2.311174,1233333024.0
1999-04-19,Entrada,130392700.0,98.37,-5.700377,1335221248.0
1999-04-20,Salida,0.0,101.51,3.189395,1259108608.0
1999-04-21,Entrada,25376300.0,105.28,3.721386,1324642860.0
1999-04-22,Salida,-157923900.0,109.16,3.686269,1216014030.0
1999-04-23,Salida,0.0,110.51,1.236328,1260839580.0
1999-04-26,Entrada,27628305.0,113.02,2.270443,1304055996.0
1999-04-27,Salida,0.0,110.34,-2.373389,1333663848.0
1999-04-28,Salida,0.0,107.51,-2.564802,1302010820.0
1999-04-29,Salida,0.0,105.95,-1.44755,1268616820.0
1999-04-30,Salida,-105953640.0,106.81,0.806315,1144299312.0
1999-05-03,Salida,0.0,106.88,0.071118,1153525968.0
1999-05-04,Salida,0.0,104.86,-1.890649,1154346336.0
1999-05-05,Entrada,209726240.0,107.78,2.782408,1342247936.0
1999-05-06,Salida,0.0,103.92,-3.580599,1379594752.0
1999-05-07,Salida,0.0,105.88,1.88059,1330196992.0
1999-05-10,Entrada,105875980.0,106.73,0.802316,1461088524.0
1999-05-11,Salida,-26681360.0,108.78,1.924958,1446129712.0
1999-05-12,Salida,0.0,110.87,1.923058,1473967103.0
1999-05-13,Salida,0.0,108.94,-1.741255,1502312348.0
1999-05-14,Salida,0.0,106.24,-2.475776,1476153260.0
1999-05-17,Entrada,361229804.0,108.77,2.379521,1800836817.0
1999-05-18,Salida,0.0,107.95,-0.756554,1843688112.0
1999-05-19,Salida,0.0,109.3,1.247234,1829739618.0
1999-05-20,Salida,-218591240.0,106.98,-2.115803,1633969519.0
1999-05-21,Salida,-213966280.0,105.7,-1.194955,1385431663.0
1999-05-24,Salida,0.0,103.01,-2.54683,1368876383.0
1999-05-25,Salida,-128765775.0,99.93,-2.988003,1205247654.0
1999-05-26,Salida,0.0,102.63,2.700766,1169234820.0
1999-05-27,Entrada,102633600.0,102.49,-0.141221,1303446720.0
1999-05-28,Salida,-5124433.0,104.47,1.937131,1296481549.0
1999-05-31,Salida,0.0,104.47,0.0,1296481549.0
1999-06-01,Salida,0.0,101.28,-3.060838,1321596100.0
1999-06-02,Salida,0.0,103.71,2.406034,1281144183.0
1999-06-03,Salida,0.0,101.51,-2.128066,1311968944.0
1999-06-04,Entrada,492303518.0,105.46,3.890789,1776352900.0
