ano,retorno_pct_QE,max_dd_pct_QE,retorno_pct_QQQ,max_dd_pct_QQQ
2006,0.57,-9.44,5.5,-17.27
2007,18.45,-5.28,18.81,-11.45
2008,-7.05,-17.73,-41.73,-49.4
2009,37.17,-7.99,54.68,-18.29
2010,11.3,-6.51,20.1,-15.61
2011,7.62,-5.41,3.48,-16.1
2012,7.73,-4.9,18.11,-11.64
2013,13.23,-4.75,36.63,-5.85
2014,16.51,-3.24,19.18,-8.25
2015,6.31,-3.61,9.44,-13.94
2016,4.11,-4.75,6.82,-12.23
2017,18.04,-3.65,32.66,-4.88
2018,3.16,-6.08,-0.13,-22.8
2019,21.84,-3.86,38.96,-10.98
2020,21.02,-13.85,48.41,-28.56
2021,11.98,-9.32,27.42,-10.85
2022,-26.87,-27.78,-32.58,-34.83
2023,23.12,-9.34,55.07,-10.78
2024,11.11,-6.13,25.58,-13.56
2025,15.44,-11.7,20.79,-22.77
2026,9.23,-5.88,14.25,-11.72
